Game,Duration (s),Player0 Cards,Player1 Cards,Winner,Community Cards,Bets
41,5.36,"8♥,6♦","4♣,5♦",0,"7♦,K♣,8♦,2♣,Q♣","Round1:P0:call:50;Round2:P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
42,9.66,"Q♣,4♥","7♦,4♣",0,"3♠,3♣,10♥,6♦,Q♠","Round1:P0:call:50;Round2:P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
43,7.48,"10♦,8♣","2♣,A♣",0,"5♥,9♣,3♥,6♠,5♣","Round1:P0:call:50,P1:call:50;Round2:P0:call:50,P1:raise:100,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
44,8.47,"2♠,2♣","5♦,A♦",0,"8♦,A♠,Q♣,4♣,4♠","Round1:P0:call:50,P1:call:50;Round2:P0:call:50;Round3:P0:call:50;Round4:P1:call:50,P0:call:50"
45,8.38,"9♠,9♣","7♦,7♣",0,"6♦,5♠,4♠,K♠,8♦","Round1:P0:call:50,P1:call:50;Round2:P0:call:50;Round3:P0:call:50;Round4:P1:call:50,P0:call:50"
46,7.57,"9♥,3♠","J♣,A♥",0,"6♣,8♣,8♦,7♣,10♣","Round1:P0:call:50,P1:call:50;Round2:P0:call:50;Round3:P0:call:50;Round4:P1:call:50,P0:call:50"
47,18.09,"2♣,8♣","5♦,10♥",1,"6♠,J♦,8♥,3♣,K♣","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
48,9.09,"8♦,6♠","5♣,A♠",1,"K♠,7♠,7♣,J♥,2♣","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
49,5.72,"8♣,4♠","J♥,4♥",0,"J♦,9♥,6♠,K♥,10♣","Round1:P0:call:50,P1:call:50;Round2:P0:call:50,P1:call:50;Round3:P0:call:50;Round4:P0:call:50"
50,9.86,"2♥,7♣","5♠,2♣",1,"Q♥,7♥,9♠,J♣,J♦","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:call:50,P0:call:50;Round3:P1:call:50,P0:call:50;Round4:P1:call:50,P0:call:50"
1,11.69,"2♥,5♠","K♥,6♥",1,"J♥,9♥,J♦,6♣,7♣","Round1:P0:call:50,P1:call:50;Round2:P0:raise:150,P1:raise:100,P0:raise:150,P1:call:50;Round3:P0:raise:150;Round4:"
1,24.02,"J♠,9♦","7♠,8♥",1,"J♦,Q♣,10♥,4♣,3♣","Round1:P0:raise:150,P1:call:50;Round2:;Round3:;Round4:"
2,3.92,"10♥,J♣","J♦,K♠",0,"4♦,5♥,6♣,Q♥,6♥","Round1:P0:call:50,P1:raise:100,P0:call:50;Round2:P1:raise:150,P0:raise:150,P1:call:50;Round3:P0:raise:150;Round4:P0:raise:150"
1,32.46,"A♠,Q♠","8♦,5♥",0,"7♠,10♣,5♠,J♠,2♦","Round1:P0:call50,P1:raise150,P0:call50;Round2:P0:raise150,P1:fold0;Round3:P0:raise150;Round4:P0:raise150"
2,49.67,"4♦,3♦","K♦,8♣",0,"J♥,2♥,Q♦,5♦,K♣","Round1:P0:call50,P1:raise150,P0:call50;Round2:P0:raise150,P1:call150;Round3:P0:raise150,P1:fold0;Round4:P0:call50"
1,13.76,"6♣,4♣","6♥,8♣",0,"8♠,10♦,K♣","Round1:P0:call50,P1:raise150,P0:call50;Round2:P0:call50,P1:fold0"
2,11.32,"6♠,2♠","8♠,10♣",0,"A♦,K♥,K♣,J♥","Round1:P0:call50,P1:call50,P0:call50;Round2:P0:call50,P1:call50;Round3:P0:call50,P1:fold0"
3,0.82,"7♣,2♦","5♣,2♣",0,,"Round1:P0:call50,P1:fold0"
4,32.93,"3♣,2♦","7♠,K♦",0,"2♣,J♣,4♥,9♠","Round1:P0:call50,P1:raise150,P0:call50;Round2:P0:call50,P1:call50;Round3:P0:call50,P1:fold0"
5,22.78,"A♦,9♠","9♦,Q♦",0,"5♠,K♦,9♥","Round1:P0:call50,P1:raise150,P0:call50;Round2:P0:call50,P1:fold0"
6,29.12,"5♥,10♠","10♦,2♥",1,"2♣,4♥,7♠,J♣,4♣","Round1:P0:call50,P1:raise150,P0:call50;Round2:P0:call50,P1:call50;Round3:P0:call50,P1:call50;Round4:P0:fold0"
7,2.57,"A♠,6♣","9♥,7♣",1,,Round1:P0:fold0
8,1.37,"7♠,7♦","10♣,7♣",1,"2♥,5♠,3♣","Round1:P0:raise150,P1:call150;Round2:P0:fold0"
9,0.67,"9♠,Q♠","J♦,7♣",0,,"Round1:P0:call50,P1:fold0"
10,9.06,"Q♦,10♣","Q♠,A♣",1,"8♥,2♦,9♣","Round1:P0:call50,P1:call50;Round2:P0:fold0"
11,17.27,"J♠,10♣","K♠,2♠",1,"2♥,A♠,8♥,2♦","Round1:P0:call50,P1:call50;Round2:P0:call50,P1:call50;Round3:P0:fold0"
12,2.59,"A♦,Q♠","4♠,7♣",0,,"Round1:P0:call50,P1:fold0"
13,0.29,"Q♦,5♥","3♦,4♥",1,,Round1:P0:fold0
14,0.31,"9♠,A♦","4♣,J♦",1,,Round1:P0:fold0
1,46.10,"5♦,7♠","J♥,J♣",0,"A♠,7♥,6♠","Round1:P0:call50,P1:raise150,P0:call50;Round2:P0:call50,P1:fold0"
2,10.11,"3♦,6♠","9♥,7♠",1,"6♦,K♦,7♥","Round1:P0:call50,P1:call50;Round2:P0:raise150,P1:raise250,P0:fold0"
3,41.67,"4♣,4♥","8♦,3♥",0,"7♣,9♦,2♦,5♣,10♥","Round1:P0:call50,P1:call50;Round2:P0:raise150,P1:call150;Round3:P0:raise150,P1:call150;Round4:P0:raise150,P1:raise350,P0:raise300,P1:raise300,P0:call50"
4,5.68,"4♦,10♠","10♣,9♠",0,"7♣,5♣,2♦","Round1:P0:call50,P1:raise50,P0:call50;Round2:P0:call50,P1:fold0"
5,2.25,"A♥,5♥","6♦,6♣",0,"A♠,8♥,5♣,A♦,K♠","Round1:P0:call50,P1:call0;Round2:P0:call50,P1:call0;Round3:P0:call50,P1:raise0,P0:call50;Round4:P0:call50,P1:call0"
6,2.45,"8♥,K♦","Q♥,2♠",0,"3♣,6♥,K♠","Round1:P0:call50,P1:raise0,P0:call50;Round2:P0:raise150,P1:fold0"
7,1.18,"J♦,10♥","8♠,2♦",1,,"Round1:P0:raise150,P1:raise0,P0:fold0"
8,0.69,"2♥,2♣","2♠,2♦",0,"10♦,A♠,9♠","Round1:P0:raise150,P1:call150;Round2:P0:raise150,P1:fold0"
9,1.17,"K♠,9♥","6♥,A♠",1,,"Round1:P0:raise150,P1:raise0,P0:fold0"
